municipio;code_muni;ano;pop;cem;hom_cem;furto_cem;roubo_cem;frv_cem
Adamantina;3500105;2001;33639;2.972739974;11.8909599;796.6943131;50.53657957;5.945479949
Adamantina;3500105;2002;33793;2.959192732;2.959192732;943.9824816;11.83677093;0
Adamantina;3500105;2003;33930;2.947244327;2.947244327;816.3866785;20.63071029;11.78897731
Adamantina;3500105;2004;34218;2.922438483;11.68975393;1227.424163;14.61219241;8.767315448
Adamantina;3500105;2005;34378;2.908837047;0;1093.72273;37.81488161;17.45302228
Adamantina;3500105;2006;34536;2.895529303;2.895529303;851.285615;20.26870512;40.53741024
Adamantina;3500105;2007;34451;2.902673362;0;949.1741894;31.92940698;23.2213869
Adamantina;3500105;2008;34366;2.909852761;2.909852761;1155.211546;14.54926381;14.54926381
Adamantina;3500105;2009;34424;2.904950035;2.904950035;830.81571;55.19405066;5.80990007
Adamantina;3500105;2010;33797;2.958842501;2.958842501;671.6572477;32.54726751;14.7942125
Adamantina;3500105;2011;33821;2.956742852;0;724.4019988;32.52417137;29.56742852
Adamantina;3500105;2012;33843;2.95482079;0;723.9310936;17.72892474;35.45784948
Adamantina;3500105;2013;34953;2.860984751;0;778.1878523;37.19280176;20.02689326
Adamantina;3500105;2014;35001;2.857061227;2.857061227;737.1217965;14.28530613;25.71355104
Adamantina;3500105;2015;35048;2.853229856;0;699.0413148;8.559689569;54.21136727
Adamantina;3500105;2016;35094;2.849489941;2.849489941;632.586767;11.39795977;45.59183906
Adamantina;3500105;2017;35139;2.845840804;2.845840804;586.2432056;17.07504482;31.30424884
Adamantina;3500105;2018;35023;2.855266539;5.710533078;485.3953117;17.13159923;34.26319847
Adamantina;3500105;2019;35068;2.851602601;5.703205201;430.5919927;8.554807802;8.554807802
Adolfo;3500204;2001;3728;26.82403433;0;509.6566524;0;26.82403433
Adolfo;3500204;2002;3771;26.51816494;0;769.0267833;0;53.03632989
Adolfo;3500204;2003;3811;26.23983207;0;760.9551299;26.23983207;0
Adolfo;3500204;2004;3895;25.67394095;0;359.4351733;0;0
Adolfo;3500204;2005;3942;25.36783359;0;1141.552511;0;25.36783359
Adolfo;3500204;2006;3989;25.06893958;0;1303.584858;0;25.06893958
Adolfo;3500204;2007;3850;25.97402597;25.97402597;987.012987;51.94805195;25.97402597
Adolfo;3500204;2008;3711;26.94691458;0;1455.133387;26.94691458;26.94691458
Adolfo;3500204;2009;3710;26.9541779;0;1725.067385;0;26.9541779
Adolfo;3500204;2010;3557;28.11357886;28.11357886;1180.770312;28.11357886;56.22715772
Adolfo;3500204;2011;3548;28.1848929;0;789.1770011;28.1848929;56.36978579
Adolfo;3500204;2012;3538;28.26455625;0;1074.053137;28.26455625;28.26455625
Adolfo;3500204;2013;3639;27.48007694;0;1209.123386;0;82.44023083
Adolfo;3500204;2014;3631;27.54062242;0;1019.003029;55.08124484;27.54062242
Adolfo;3500204;2015;3623;27.60143527;0;1186.861717;138.0071764;0
Adolfo;3500204;2016;3616;27.65486726;0;912.6106195;55.30973451;27.65486726
Adolfo;3500204;2017;3609;27.70850651;27.70850651;1108.34026;0;55.41701302
Adolfo;3500204;2018;3571;28.0033604;0;1232.147858;84.01008121;28.0033604
Adolfo;3500204;2019;3562;28.07411567;0;1151.038742;56.14823133;0
Aguaí;3500303;2001;28750;3.47826087;13.91304348;2024.347826;313.0434783;257.3913043
Aguaí;3500303;2002;29212;3.423250719;3.423250719;1619.19759;184.8555388;301.2460633
Aguaí;3500303;2003;29684;3.368818219;10.10645466;1219.512195;128.0150923;124.6462741
Aguaí;3500303;2004;30674;3.260089978;9.780269935;456.412597;71.72197953;94.54260938
Aguaí;3500303;2005;31222;3.202869771;9.608609314;1063.352764;108.8975722;70.46313497
Aguaí;3500303;2006;31766;3.148019895;9.444059686;2140.653529;185.7331738;107.0326764
Aguaí;3500303;2007;31764.5;3.148168553;15.74084276;2096.680256;116.4822365;72.40787672
Aguaí;3500303;2008;31763;3.148317224;6.296634449;1671.756446;125.932689;85.00456506
Aguaí;3500303;2009;32101;3.115167752;9.345503255;1675.96025;146.4128843;124.6067101
Aguaí;3500303;2010;32148;3.110613413;3.110613413;1695.28431;136.8669902;121.3139231
Aguaí;3500303;2011;32452;3.081474177;12.32589671;1349.68569;215.7031924;150.9922347
Aguaí;3500303;2012;32745;3.053901359;18.32340815;1358.986105;158.8028707;106.8865476
Aguaí;3500303;2013;34188;2.925002925;5.85000585;1096.876097;146.2501463;193.0501931
Aguaí;3500303;2014;34530;2.896032436;5.792064871;1256.878077;182.4500434;179.554011
Aguaí;3500303;2015;34863;2.868370479;14.34185239;1049.823595;157.7603763;169.2338582
Aguaí;3500303;2016;35189;2.841797153;2.841797153;1057.148541;221.6601779;142.0898576
Aguaí;3500303;2017;35508;2.816266757;2.816266757;1070.181368;166.1597387;61.95786865
Aguaí;3500303;2018;35954;2.781331702;5.562663403;795.4608667;147.4105802;77.87728765
Aguaí;3500303;2019;36305;2.754441537;8.263324611;702.3825919;115.6865446;44.07106459
Águas da Prata;3500402;2001;7135;14.01541696;0;686.755431;28.03083392;14.01541696
Águas da Prata;3500402;2002;7223;13.84466288;0;456.8738751;13.84466288;69.22331441
Águas da Prata;3500402;2003;7266;13.76273053;13.76273053;591.7974126;41.28819158;151.3900358
Águas da Prata;3500402;2004;7356;13.59434475;0;516.5851006;27.18868951;67.97172376
Águas da Prata;3500402;2005;7406;13.50256549;0;391.5743991;0;27.00513097
Águas da Prata;3500402;2006;7455;13.41381623;13.41381623;563.3802817;26.82763246;13.41381623
Águas da Prata;3500402;2007;7569.5;13.21091221;0;462.3819275;105.6872977;13.21091221
Águas da Prata;3500402;2008;7684;13.01405518;0;741.8011452;39.04216554;26.02811036
Águas da Prata;3500402;2009;7734;12.92991983;0;465.477114;38.7897595;25.85983967
Águas da Prata;3500402;2010;7584;13.18565401;26.37130802;448.3122363;26.37130802;13.18565401
