name_muni;code_muni;ano;homicidio;furto;roubo;frv;codigo;municipio;regiao_administrativa;regiao_governo;pop
ADAMANTINA;3500105;2001;4;268;17;2;350010;Adamantina;Presidente Prudente;Adamantina;33639
ADAMANTINA;3500105;2002;1;319;4;0;350010;Adamantina;Presidente Prudente;Adamantina;33793
ADAMANTINA;3500105;2003;1;277;7;4;350010;Adamantina;Presidente Prudente;Adamantina;33930
ADAMANTINA;3500105;2004;4;420;5;3;350010;Adamantina;Presidente Prudente;Adamantina;34218
ADAMANTINA;3500105;2005;0;376;13;6;350010;Adamantina;Presidente Prudente;Adamantina;34378
ADAMANTINA;3500105;2006;1;294;7;14;350010;Adamantina;Presidente Prudente;Adamantina;34536
ADAMANTINA;3500105;2007;0;327;11;8;350010;Adamantina;Presidente Prudente;Adamantina;34451
ADAMANTINA;3500105;2008;1;397;5;5;350010;Adamantina;Presidente Prudente;Adamantina;34366
ADAMANTINA;3500105;2009;1;286;19;2;350010;Adamantina;Presidente Prudente;Adamantina;34424
ADAMANTINA;3500105;2010;1;227;11;5;350010;Adamantina;Presidente Prudente;Adamantina;33797
ADAMANTINA;3500105;2011;0;245;11;10;350010;Adamantina;Presidente Prudente;Adamantina;33821
ADAMANTINA;3500105;2012;0;245;6;12;350010;Adamantina;Presidente Prudente;Adamantina;33843
ADAMANTINA;3500105;2013;0;272;13;7;350010;Adamantina;Presidente Prudente;Adamantina;34953
ADAMANTINA;3500105;2014;1;258;5;9;350010;Adamantina;Presidente Prudente;Adamantina;35001
ADAMANTINA;3500105;2015;0;245;3;19;350010;Adamantina;Presidente Prudente;Adamantina;35048
ADAMANTINA;3500105;2016;1;222;4;16;350010;Adamantina;Presidente Prudente;Adamantina;35094
ADAMANTINA;3500105;2017;1;206;6;11;350010;Adamantina;Presidente Prudente;Adamantina;35139
ADAMANTINA;3500105;2018;2;170;6;12;350010;Adamantina;Presidente Prudente;Adamantina;35023
ADAMANTINA;3500105;2019;2;151;3;3;350010;Adamantina;Presidente Prudente;Adamantina;35068
ADOLFO;3500204;2001;0;19;0;1;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3728
ADOLFO;3500204;2002;0;29;0;2;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3771
ADOLFO;3500204;2003;0;29;1;0;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3811
ADOLFO;3500204;2004;0;14;0;0;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3895
ADOLFO;3500204;2005;0;45;0;1;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3942
ADOLFO;3500204;2006;0;52;0;1;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3989
ADOLFO;3500204;2007;1;38;2;1;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3850
ADOLFO;3500204;2008;0;54;1;1;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3711
ADOLFO;3500204;2009;0;64;0;1;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3710
ADOLFO;3500204;2010;1;42;1;2;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3557
ADOLFO;3500204;2011;0;28;1;2;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3548
ADOLFO;3500204;2012;0;38;1;1;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3538
ADOLFO;3500204;2013;0;44;0;3;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3639
ADOLFO;3500204;2014;0;37;2;1;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3631
ADOLFO;3500204;2015;0;43;5;0;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3623
ADOLFO;3500204;2016;0;33;2;1;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3616
ADOLFO;3500204;2017;1;40;0;2;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3609
ADOLFO;3500204;2018;0;44;3;1;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3571
ADOLFO;3500204;2019;0;41;2;0;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;3562
AGUAI;3500303;2001;4;582;90;74;350030;Aguaí;Campinas;São João da Boa Vista;28750
AGUAI;3500303;2002;1;473;54;88;350030;Aguaí;Campinas;São João da Boa Vista;29212
