muni;ano;pop;pop_masc;pop_fem;sex_ratio;pop_urb;pop_rural;grau_urb;code_muni
Adamantina;2019;33891;16333;17558;93.02;32622;1269;96.26;3500105
Adamantina;2020;33894;16326;17568;92.93;32668;1226;96.38;3500105
Adamantina;2021;33869;16310;17559;92.89;32684;1185;96.5;3500105
Adolfo;2019;3458;1715;1743;98.39;3194;264;92.37;3500204
Adolfo;2020;3447;1707;1740;98.1;3189;258;92.52;3500204
Adolfo;2021;3436;1699;1737;97.81;3184;252;92.67;3500204
Aguaí;2019;35261;17721;17540;101.03;32451;2810;92.03;3500303
Aguaí;2020;35608;17889;17719;100.96;32833;2775;92.21;3500303
Aguaí;2021;35885;18021;17864;100.88;33151;2734;92.38;3500303
Águas da Prata;2019;7777;3822;3955;96.64;7150;627;91.94;3500402
Águas da Prata;2020;7797;3830;3967;96.55;7188;609;92.19;3500402
Águas da Prata;2021;7807;3834;3973;96.5;7215;592;92.42;3500402
Águas de Lindóia;2019;18268;8897;9371;94.94;18104;164;99.1;3500501
Águas de Lindóia;2020;18374;8944;9430;94.85;18209;165;99.1;3500501
Águas de Lindóia;2021;18438;8972;9466;94.78;18272;166;99.1;3500501
Águas de Santa Bárbara;2019;5899;2890;3009;96.05;4577;1322;77.59;3500550
Águas de Santa Bárbara;2020;5931;2903;3028;95.87;4611;1320;77.74;3500550
Águas de Santa Bárbara;2021;5957;2912;3045;95.63;4642;1315;77.93;3500550
Águas de São Pedro;2019;3082;1446;1636;88.39;3082;;100;3500600
Águas de São Pedro;2020;3122;1466;1656;88.53;3122;;100;3500600
Águas de São Pedro;2021;3144;1479;1665;88.83;3144;;100;3500600
Agudos;2019;35980;17746;18234;97.32;34642;1338;96.28;3500709
Agudos;2020;36134;17816;18318;97.26;34815;1319;96.35;3500709
Agudos;2021;36255;17869;18386;97.19;34955;1300;96.41;3500709
Alambari;2019;5689;2842;2847;99.82;4622;1067;81.24;3500758
Alambari;2020;5779;2885;2894;99.69;4729;1050;81.83;3500758
Alambari;2021;5856;2921;2935;99.52;4826;1030;82.41;3500758
Alfredo Marcondes;2019;3924;1999;1925;103.84;3531;393;89.98;3500808
Alfredo Marcondes;2020;3927;2001;1926;103.89;3554;373;90.5;3500808
Alfredo Marcondes;2021;3924;1999;1925;103.84;3571;353;91;3500808
Altair;2019;4015;2134;1881;113.45;3376;639;84.08;3500907
Altair;2020;4036;2142;1894;113.09;3413;623;84.56;3500907
Altair;2021;4052;2148;1904;112.82;3445;607;85.02;3500907
Altinópolis;2019;15555;7741;7814;99.07;14217;1338;91.4;3501004
Altinópolis;2020;15553;7735;7818;98.94;14272;1281;91.76;3501004
Altinópolis;2021;15547;7727;7820;98.81;14321;1226;92.11;3501004
Alto Alegre;2019;4027;2058;1969;104.52;3400;627;84.43;3501103
Alto Alegre;2020;4017;2052;1965;104.43;3412;605;84.94;3501103
Alto Alegre;2021;4006;2045;1961;104.28;3423;583;85.45;3501103
Alumínio;2019;17859;8971;8888;100.93;14978;2881;83.87;3501152
Alumínio;2020;17972;9023;8949;100.83;15073;2899;83.87;3501152
Alumínio;2021;18069;9067;9002;100.72;15155;2914;83.87;3501152
Álvares Florence;2019;3647;1848;1799;102.72;2663;984;73.02;3501202
Álvares Florence;2020;3621;1832;1789;102.4;2663;958;73.54;3501202
Álvares Florence;2021;3596;1818;1778;102.25;2663;933;74.05;3501202
Álvares Machado;2019;23751;11674;12077;96.66;21658;2093;91.19;3501301
Álvares Machado;2020;23789;11684;12105;96.52;21720;2069;91.3;3501301
Álvares Machado;2021;23828;11696;12132;96.41;21782;2046;91.41;3501301
Álvaro de Carvalho;2019;5003;3123;1880;166.12;3353;1650;67.02;3501400
Álvaro de Carvalho;2020;5044;3142;1902;165.19;3400;1644;67.41;3501400
Álvaro de Carvalho;2021;5079;3159;1920;164.53;3443;1636;67.79;3501400
Alvinlândia;2019;3160;1558;1602;97.25;2908;252;92.03;3501509
Alvinlândia;2020;3176;1566;1610;97.27;2929;247;92.22;3501509
Alvinlândia;2021;3190;1573;1617;97.28;2947;243;92.38;3501509
Americana;2019;231361;113156;118205;95.73;230280;1081;99.53;3501608
Americana;2020;233458;114164;119294;95.7;232367;1091;99.53;3501608
Americana;2021;235075;114935;120140;95.67;233977;1098;99.53;3501608
Américo Brasiliense;2019;39678;19835;19843;99.96;39378;300;99.24;3501707
Américo Brasiliense;2020;40243;20106;20137;99.85;39938;305;99.24;3501707
Américo Brasiliense;2021;40676;20312;20364;99.74;40368;308;99.24;3501707
Américo de Campos;2019;5735;2866;2869;99.9;5007;728;87.31;3501806
Américo de Campos;2020;5736;2865;2871;99.79;5025;711;87.6;3501806
Américo de Campos;2021;5730;2861;2869;99.72;5036;694;87.89;3501806
Amparo;2019;69291;34030;35261;96.51;57992;11299;83.69;3501905
Amparo;2020;69639;34189;35450;96.44;58620;11019;84.18;3501905
Amparo;2021;69861;34288;35573;96.39;59136;10725;84.65;3501905
Analândia;2019;4798;2450;2348;104.34;4003;795;83.43;3502002
Analândia;2020;4850;2475;2375;104.21;4065;785;83.81;3502002
Analândia;2021;4895;2497;2398;104.13;4122;773;84.21;3502002
Andradina;2019;55998;27423;28575;95.97;52755;3243;94.21;3502101
Andradina;2020;56054;27443;28611;95.92;52856;3198;94.29;3502101
Andradina;2021;56087;27456;28631;95.9;52935;3152;94.38;3502101
Angatuba;2019;24269;12195;12074;101;18089;6180;74.54;3502200
Angatuba;2020;24501;12302;12199;100.84;18333;6168;74.83;3502200
Angatuba;2021;24697;12392;12305;100.71;18550;6147;75.11;3502200
Anhembi;2019;6568;3348;3220;103.98;5154;1414;78.47;3502309
Anhembi;2020;6672;3398;3274;103.79;5256;1416;78.78;3502309
Anhembi;2021;6755;3437;3318;103.59;5342;1413;79.08;3502309
Anhumas;2019;3942;1961;1981;98.99;3439;503;87.24;3502408
Anhumas;2020;3963;1971;1992;98.95;3477;486;87.74;3502408
Anhumas;2021;3983;1981;2002;98.95;3513;470;88.2;3502408
Aparecida;2019;35640;17158;18482;92.84;35122;518;98.55;3502507
Aparecida;2020;35709;17187;18522;92.79;35190;519;98.55;3502507
Aparecida;2021;35744;17199;18545;92.74;35224;520;98.55;3502507
Aparecida d'Oeste;2019;4162;2017;2145;94.03;3599;563;86.47;3502606
Aparecida d'Oeste;2020;4132;2001;2131;93.9;3589;543;86.86;3502606
Aparecida d'Oeste;2021;4105;1987;2118;93.81;3581;524;87.24;3502606
