cod_muni;muni;ano;AG001 ;ES001;IN015;IN016;IN055
3500105;Adamantina;2019;35068;34944;98.36;100;100
3500204;Adolfo;2019;3560;3562;100;100;99.94
3500303;Aguaí;2019;32599;31870;0.59;22.88;89.79
3500402;Águas da Prata;2019;7763;7347;95.09;99.46;94.9
3500501;Águas de Lindóia;2019;18537;18437;80;77.76;99.1
3500550;Águas de Santa Bárbara;2019;4547;3120;75.92;100;74.85
3500600;Águas de São Pedro;2019;3354;3191;94.59;100;97.19
3500709;Agudos;2019;37214;36736;90.15;100;100
3500758;Alambari;2019;4875;2900;65.13;100;80.91
3500808;Alfredo Marcondes;2019;4166;3843;92.53;100;100
3500907;Altair;2019;3412;3394;98.21;100;82.02
3501004;Altinópolis;2019;14140;14140;70.56;100;87.37
3501103;Alto Alegre;2019;3338;3224;100;100;81.43
3501152;Alumínio;2019;14061;11161;68.56;100;75.48
3501202;Álvares Florence;2019;2804;2804;80;100;76.22
3501301;Álvares Machado;2019;24915;24242;100;100;100
3501400;Álvaro de Carvalho;2019;3424;3359;100;100;65.51
3501509;Alvinlândia;2019;3006;2968;100;100;93.3
3501608;Americana;2019;238478;239597;93.63;57.1;99.53
3501707;Américo Brasiliense;2019;39562;39562;60.91;0;97.67
3501806;Américo de Campos;2019;5103;5103;82.83;100;85.49
3501905;Amparo;2019;56821;53980;81.65;58.28;78.7
3502002;Analândia;2019;3500;3500;100;100;70.07
3502101;Andradina;2019;57157;56374;97.11;100;100
3502200;Angatuba;2019;20771;16793;80.44;100;82.33
3502309;Anhembi;2019;5112;4865;100;100;76.03
3502408;Anhumas;2019;4093;3985;97.34;100;99.47
3502507;Aparecida;2019;35631;30999;46.75;0;98.55
3502606;Aparecida D Oeste;2019;3804;3679;95.75;100;90.66
3502705;Apiaí;2019;19609;12715;66.4;100;80.45
3502754;Araçariguama;2019;13693;8932;55.54;55.66;61.23
3502804;Araçatuba;2019;193216;191166;100;100;98.07
3502903;Araçoiaba da Serra;2019;33562;10566;33;100;98.29
3503000;Aramina;2019;;;;;
3503109;Arandu;2019;4677;4662;100;100;73.57
3503158;Arapeí;2019;2136;1787;85.24;100;86.51
3503208;Araraquara;2019;228942;229051;100;100;96.98
3503307;Araras;2019;133856;133856;92.43;0;99.72
3503356;Arco-Íris;2019;1201;1187;100;100;67.06
3503406;Arealva;2019;6006;5409;90.83;100;70.16
3503505;Areias;2019;2600;2600;25.78;0;66.91
3503604;Areiópolis;2019;10647;10630;95.26;100;95.67
3503703;Ariranha;2019;;;;;
3503802;Artur Nogueira;2019;48466;47102;67.4;33;89.08
3503901;Arujá;2019;89824;65594;50.32;100;100
3503950;Aspásia;2019;1691;1694;100;100;92.81
3504008;Assis;2019;104310;104386;99.25;100;99.93
3504107;Atibaia;2019;126036;102595;100;58.11;88.28
3504206;Auriflama;2019;14472;14278;98.03;100;95.28
3504305;Avaí;2019;3372;3288;97.28;100;62.41
3504404;Avanhandava;2019;11541;11541;80.83;100;84.56
3504503;Avaré;2019;90413;87426;98.83;100;99.73
3504602;Bady Bassitt;2019;16371;16176;80;100;93.54
3504701;Balbinos;2019;1845;1834;100;100;32.17
3504800;Bálsamo;2019;9068;9068;99.55;100;100
3504909;Bananal;2019;8512;8075;87.78;100;77.77
3505005;Barão de Antonina;2019;2685;2137;91.27;100;77.4
3505104;Barbosa;2019;7402;7402;97.01;96.58;100
3505203;Bariri;2019;35264;35264;77.85;100;100
3505302;Barra Bonita;2019;36126;36126;77.42;90;100
3505351;Barra do Chapéu;2019;2241;1290;68.33;100;39.15
3505401;Barra do Turvo;2019;3286;2679;91.55;100;42.9
3505500;Barretos;2019;122098;122098;87.18;100;100
3505609;Barrinha;2019;32448;32448;79.9;0;98.89
3505708;Barueri;2019;274182;245941;63.5;51.15;100
3505807;Bastos;2019;18795;18758;98.33;100;89.7
3505906;Batatais;2019;55279;55000;80;75.99;88.44
3506003;Bauru;2019;370329;365734;76.64;4.41;98.28
3506102;Bebedouro;2019;77496;77496;65.02;56.64;100
3506201;Bento de Abreu;2019;2793;2781;100;100;93.72
3506300;Bernardino de Campos;2019;10350;10238;100;100;92.84
3506359;Bertioga;2019;46341;31707;60.43;100;73.27
3506409;Bilac;2019;8034;7837;86.54;100;100
3506508;Birigui;2019;123638;123638;98.71;100;100
3506607;Biritiba-Mirim;2019;18049;15851;69.58;99.4;55.37
3506706;Boa Esperança do Sul;2019;;;;;
3506805;Bocaina;2019;12329;12294;99.09;100;100
3506904;Bofete;2019;6953;6276;92.46;100;59.28
3507001;Boituva;2019;52633;45416;73.54;100;86.29
3507100;Bom Jesus dos Perdões;2019;22408;22098;58.04;0;88.05
