cod_i;cod_m;muni;esta;ano_;prest;servç;natur;G06A _ População urbana residente do(s) município(s) com abastecimento de água;G06B _ População urbana residente do(s) município(s) com esgotamento sanitário;G12A _ População total residente do(s) município(s) com abastecimento de água, segundo o IBGE;G12B _ População total residente do(s) município(s) com esgotamento sanitário, segundo o IBGE;POP_TOT _ População total do município (Fonte: IBGE):;POP_URB _ População urbana do município (Fonte: IBGE);AG001 _ População total atendida com abastecimento de água;AG026 _ População urbana atendida com abastecimento de água;ES001 _ População total atendida com esgotamento sanitário;ES026 _ População urbana atendida com esgotamento sanitário;IN015_AE _ Índice de coleta de esgoto;IN016_AE _ Índice de tratamento de esgoto;IN023_AE _ Índice de atendimento urbano de água;IN024_AE _ Índice de atendimento urbano de esgoto referido aos municípios atendidos com água;IN046_AE _ Índice de esgoto tratado referido à água consumida;IN047_AE _ Índice de atendimento urbano de esgoto referido aos municípios atendidos com esgoto;IN055_AE _ Índice de atendimento total de água;IN056_AE _ Índice de atendimento total de esgoto referido aos municípios atendidos com água
3500105;350010;Adamantina;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP;Água e Esgoto;Sociedade de economia mista com administração pública;33.15;33.15;35.07;35.07;35.07;33.15;35.07;33.15;34.94;33.15;98.36;100.00;100.00;100.00;98.36;100.00;100.00;99.65
3500204;350020;Adolfo;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP;Água e Esgoto;Sociedade de economia mista com administração pública;3.20;3.20;3.56;3.56;3.56;3.20;3.56;3.20;3.56;3.20;100.00;100.00;100.00;100.00;100.00;100.00;99.94;100.00
3500303;350030;Aguaí;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35003040] Prefeitura Municipal de Aguai - PMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;32.75;32.75;36.31;36.31;36.31;32.75;32.60;32.60;31.87;31.87;0.59;22.88;99.50;97.31;0.14;97.31;89.79;87.78
3500402;350040;Águas Da Prata;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35004040] Secretaria Municipal de Obras e Serviços - SEMOSP;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;7.30;7.30;8.18;8.18;8.18;7.30;7.76;7.30;7.35;7.30;95.09;99.46;100.00;100.00;94.57;100.00;94.90;89.82
3500501;350050;Águas De Lindóia;SP;2019;[35005011] Saneamento Ambiental de Águas de Lindóia - SAAE;Água e Esgoto;Autarquia;18.54;18.54;18.71;18.71;18.71;18.54;18.54;18.54;18.44;18.44;80.00;77.76;100.00;99.46;62.21;99.46;99.10;98.57
3500550;350055;Águas De Santa Bárbara;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP;Água e Esgoto;Sociedade de economia mista com administração pública;4.62;4.62;6.08;6.08;6.08;4.62;4.55;4.55;3.12;3.12;75.92;100.00;98.40;67.55;75.92;67.55;74.85;51.36
3500600;350060;Águas De São Pedro;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35006040] PREFEITURA MUNICIPAL- SECRETARIA DE  SERVIÇOS URBANOS  E MEIO AMBIENTE - S.U.;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;3.45;3.45;3.45;3.45;3.45;3.45;3.35;3.35;3.19;3.19;94.59;100.00;97.20;92.47;94.59;92.47;97.19;92.47
3500709;350070;Agudos;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35007040] Prefeitura Municipal de Agudos - PMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;35.56;35.56;37.21;37.21;37.21;35.56;37.21;35.56;36.74;35.56;90.15;100.00;100.00;100.00;90.15;100.00;100.00;98.72
3500758;350075;Alambari;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35007540] Prefeitura municipal de Aalambari - PMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;4.53;4.53;6.03;6.03;6.03;4.53;4.88;4.53;2.90;2.90;65.13;100.00;100.00;64.02;65.13;64.02;80.91;48.13
3500808;350080;Alfredo Marcondes;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35008040] Prefeitura Municipal de Alfredo Marcondes - AFM;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;3.49;3.49;4.17;4.17;4.17;3.49;4.17;3.49;3.84;3.49;92.53;100.00;100.00;100.00;92.53;100.00;100.00;92.25
